n0,L,steps_to_1,max_N,max_M,theorem_ok,avg_H_N,avg_H_M,avg_H_diff,avg_ham_dist,final_M_at_N1
1,20,3,4,1048574,True,0.286397,0.286397,0.000000,20.000000,1048574
2,20,1,2,1048574,True,0.286397,0.286397,0.000000,20.000000,1048574
3,20,7,16,1048574,True,0.354871,0.354871,0.000000,20.000000,1048574
4,20,2,4,1048574,True,0.286397,0.286397,0.000000,20.000000,1048574
5,20,5,16,1048574,True,0.316830,0.316830,0.000000,20.000000,1048574
6,20,8,16,1048574,True,0.367552,0.367552,0.000000,20.000000,1048574
7,20,16,52,1048574,True,0.465000,0.465000,0.000000,20.000000,1048574
8,20,3,8,1048574,True,0.286397,0.286397,0.000000,20.000000,1048574
9,20,19,52,1048574,True,0.479684,0.479684,0.000000,20.000000,1048574
10,20,6,16,1048574,True,0.338568,0.338568,0.000000,20.000000,1048574
11,20,14,52,1048574,True,0.445688,0.445688,0.000000,20.000000,1048574
12,20,9,16,1048574,True,0.377696,0.377696,0.000000,20.000000,1048574
13,20,9,40,1048574,True,0.391781,0.391781,0.000000,20.000000,1048574
14,20,17,52,1048574,True,0.473047,0.473047,0.000000,20.000000,1048574
15,20,17,160,1048574,True,0.504182,0.504182,0.000000,20.000000,1048574
16,20,4,16,1048574,True,0.286397,0.286397,0.000000,20.000000,1048574
17,20,12,52,1048574,True,0.431268,0.431268,0.000000,20.000000,1048574
18,20,20,52,1048574,True,0.479175,0.479175,0.000000,20.000000,1048574
19,20,20,88,1048574,True,0.503264,0.503264,0.000000,20.000000,1048574
20,20,7,20,1048574,True,0.354871,0.354871,0.000000,20.000000,1048574
21,20,7,64,1048574,True,0.326827,0.326827,0.000000,20.000000,1048574
22,20,15,52,1048574,True,0.455947,0.455947,0.000000,20.000000,1048574
23,20,15,160,1048574,True,0.476964,0.476964,0.000000,20.000000,1048574
24,20,10,24,1048574,True,0.385996,0.385996,0.000000,20.000000,1048574
25,20,23,88,1048574,True,0.516586,0.516586,0.000000,20.000000,1048574
26,20,10,40,1048574,True,0.411604,0.411604,0.000000,20.000000,1048574
27,20,111,9232,1048574,True,0.757041,0.757041,0.000000,20.000000,1048574
28,20,18,52,1048574,True,0.480246,0.480246,0.000000,20.000000,1048574
29,20,18,88,1048574,True,0.486146,0.486146,0.000000,20.000000,1048574
30,20,18,160,1048574,True,0.515643,0.515643,0.000000,20.000000,1048574
31,20,106,9232,1048574,True,0.759107,0.759107,0.000000,20.000000,1048574
32,20,5,32,1048574,True,0.286397,0.286397,0.000000,20.000000,1048574
33,20,26,100,1048574,True,0.521731,0.521731,0.000000,20.000000,1048574
34,20,13,52,1048574,True,0.433963,0.433963,0.000000,20.000000,1048574
35,20,13,160,1048574,True,0.449975,0.449975,0.000000,20.000000,1048574
36,20,21,52,1048574,True,0.478712,0.478712,0.000000,20.000000,1048574
37,20,21,112,1048574,True,0.497918,0.497918,0.000000,20.000000,1048574
38,20,21,88,1048574,True,0.508108,0.508108,0.000000,20.000000,1048574
39,20,34,304,1048574,True,0.573418,0.573418,0.000000,20.000000,1048574
40,20,8,40,1048574,True,0.367552,0.367552,0.000000,20.000000,1048574
41,20,109,9232,1048574,True,0.758699,0.758699,0.000000,20.000000,1048574
42,20,8,64,1048574,True,0.358273,0.358273,0.000000,20.000000,1048574
