n,max_N,min_M
1,4,1048571
2,2,1048573
3,16,1048559
4,4,1048571
5,16,1048559
6,16,1048559
7,52,1048523
8,8,1048567
9,52,1048523
10,16,1048559
11,52,1048523
12,16,1048559
13,40,1048535
14,52,1048523
15,160,1048415
16,16,1048559
17,52,1048523
18,52,1048523
19,88,1048487
20,20,1048555
21,64,1048511
22,52,1048523
23,160,1048415
24,24,1048551
25,88,1048487
26,40,1048535
27,9232,1039343
28,52,1048523
29,88,1048487
30,160,1048415
31,9232,1039343
32,32,1048543
33,100,1048475
34,52,1048523
35,160,1048415
36,52,1048523
37,112,1048463
38,88,1048487
39,304,1048271
40,40,1048535
41,9232,1039343
42,64,1048511
43,196,1048379
44,52,1048523
45,136,1048439
46,160,1048415
47,9232,1039343
48,48,1048527
49,148,1048427
50,88,1048487
51,232,1048343
52,52,1048523
53,160,1048415
54,9232,1039343
55,9232,1039343
56,56,1048519
57,196,1048379
58,88,1048487
59,304,1048271
60,160,1048415
61,184,1048391
62,9232,1039343
63,9232,1039343
64,64,1048511
65,196,1048379
66,100,1048475
67,304,1048271
68,68,1048507
69,208,1048367
70,160,1048415
71,9232,1039343
72,72,1048503
73,9232,1039343
74,112,1048463
75,340,1048235
76,88,1048487
77,232,1048343
78,304,1048271
79,808,1047767
80,80,1048495
81,244,1048331
82,9232,1039343
83,9232,1039343
84,84,1048491
85,256,1048319
86,196,1048379
87,592,1047983
88,88,1048487
89,304,1048271
90,136,1048439
91,9232,1039343
92,160,1048415
93,280,1048295
94,9232,1039343
95,9232,1039343
96,96,1048479
97,9232,1039343
98,148,1048427
99,448,1048127
100,100,1048475
101,304,1048271
102,232,1048343
103,9232,1039343
104,104,1048471
105,808,1047767
106,160,1048415
107,9232,1039343
108,9232,1039343
109,9232,1039343
110,9232,1039343
111,9232,1039343
112,112,1048463
113,340,1048235
114,196,1048379
115,520,1048055
116,116,1048459
117,352,1048223
118,304,1048271
119,808,1047767
120,160,1048415
121,9232,1039343
122,184,1048391
123,628,1047947
124,9232,1039343
125,9232,1039343
126,9232,1039343
127,4372,1044203
128,128,1048447
129,9232,1039343
130,196,1048379
131,592,1047983
132,132,1048443
133,400,1048175
134,304,1048271
135,916,1047659
136,136,1048439
137,9232,1039343
138,208,1048367
139,628,1047947
140,160,1048415
141,424,1048151
